state,year,daily_cases,daily_deaths,population,case_rate,death_rate,state code,region,division
Alabama,2020,361226,4877,4903185,0.07367170522833627,0.000994659593713066,AL,South,East South Central
Alabama,2021,477610,11113,4903185,0.09740811329778501,0.002266485967794403,AL,South,East South Central
Alaska,2020,46750,200,731545,0.06390584311286387,0.0002733939812315032,AK,West,Pacific
Alaska,2021,97472,615,731545,0.1332412906929854,0.0008406864922868723,AK,West,Pacific
Arizona,2020,524053,8887,7278717,0.07199799085470696,0.0012209569351301884,AZ,West,Mountain
Arizona,2021,683519,12819,7278717,0.09390652226209646,0.0017611620289674677,AZ,West,Mountain
Arkansas,2020,225938,3678,3017804,0.07486834797753598,0.001218767023968422,AR,South,West South Central
Arkansas,2021,293725,5238,3017804,0.09733070802477563,0.0017356992037918964,AR,South,West South Central
California,2020,2307860,25975,39512223,0.0584087612585098,0.0006573915114824088,CA,West,Pacific
California,2021,2692340,49056,39512223,0.06813942105965538,0.0012415398647653917,CA,West,Pacific
Colorado,2020,335579,4889,5758736,0.05827303074841424,0.0008489710241969766,CO,West,Mountain
Colorado,2021,450901,3939,5758736,0.0782986058051628,0.0006840042676031685,CO,West,Mountain
Connecticut,2020,185762,5995,3565287,0.05210295833126478,0.0016814915601464904,CT,Northeast,New England
Connecticut,2021,222042,2840,3565287,0.06227885721401952,0.0007965698133137669,CT,Northeast,New England
Delaware,2020,57542,928,973764,0.059092346810931604,0.0009530029863498754,DE,South,South Atlantic
Delaware,2021,89783,1199,973764,0.09220201198647722,0.0012313045049929963,DE,South,South Atlantic
District of Columbia,2020,28983,786,705749,0.04106700824230711,0.0011137103984561083,DC,South,South Atlantic
District of Columbia,2021,36412,408,705749,0.05159341352237127,0.0005781092144657662,DC,South,South Atlantic
Florida,2020,1323307,21672,21477737,0.06161296229672614,0.0010090448542134584,FL,South,South Atlantic
Florida,2021,2425824,39025,21477737,0.11294597750219215,0.0018169977591214568,FL,South,South Atlantic
Georgia,2020,644381,10588,10617423,0.06069090399807938,0.0009972288002465383,GA,South,South Atlantic
Georgia,2021,968611,18198,10617423,0.09122844592327159,0.00171397522732211,GA,South,South Atlantic
Hawaii,2020,21469,290,1415872,0.015163093838991096,0.0002048207747593003,HI,West,Pacific
Hawaii,2021,61377,687,1415872,0.043349257560005426,0.0004852133526194458,HI,West,Pacific
Idaho,2020,141392,1440,1787065,0.07911967387867817,0.0008057905000657502,ID,West,Mountain
Idaho,2021,157376,2291,1787065,0.088063948429408,0.0012819903025351625,ID,West,Mountain
Illinois,2020,965840,17979,12671821,0.07621951099214548,0.0014188173901762027,IL,Midwest,East North Central
Illinois,2021,775083,11013,12671821,0.06116587347627464,0.0008690937158913467,IL,Midwest,East North Central
Indiana,2020,514455,8263,6732219,0.07641685453191585,0.0012273813433579625,IN,Midwest,East North Central
Indiana,2021,538712,8827,6732219,0.08001997558308784,0.0013111575841487034,IN,Midwest,East North Central
Iowa,2020,281712,3891,3155070,0.08928866871416483,0.0012332531449381471,IA,Midwest,West North Central
Iowa,2021,218762,3277,3155070,0.06933665497120507,0.0010386457352768719,IA,Midwest,West North Central
Kansas,2020,225455,2769,2913314,0.07738781332873834,0.0009504639733307154,KS,Midwest,West North Central
Kansas,2021,223311,4069,2913314,0.07665188167152596,0.0013966911908568729,KS,Midwest,West North Central
Kentucky,2020,268828,2962,4467673,0.060171816513876465,0.0006629849588365128,KY,South,East South Central
Kentucky,2021,496263,7366,4467673,0.11107863086667265,0.001648733020523212,KY,South,East South Central
Louisiana,2020,317033,7488,4648794,0.06819682696200348,0.0016107403339446747,LA,South,West South Central
Louisiana,2021,449079,7197,4648794,0.09660118301649848,0.0015481434539796773,LA,South,West South Central
Maine,2020,24201,349,1344212,0.01800385653453473,0.0002596316652432801,ME,Northeast,New England
Maine,2021,86151,875,1344212,0.0640903369408992,0.0006509389887904587,ME,Northeast,New England
Maryland,2020,276834,5895,6045680,0.04579038255415437,0.0009750764182027497,MD,South,South Atlantic
Maryland,2021,293221,5145,6045680,0.04850091304865623,0.0008510208942583796,MD,South,South Atlantic
Massachusetts,2020,390692,12513,6892503,0.05668361696759508,0.0018154507876166322,MA,Northeast,New England
Massachusetts,2021,498103,6736,6892503,0.07226736063807299,0.0009772937349465064,MA,Northeast,New England
Michigan,2020,526668,13026,9986857,0.05273611107078033,0.0013043142602322231,MI,Midwest,East North Central
Michigan,2021,817684,11280,9986857,0.08187600963946916,0.001129484481453975,MI,Midwest,East North Central
Minnesota,2020,415361,5382,5639632,0.07365037293213458,0.0009543175866794146,MN,Midwest,West North Central
Minnesota,2021,426388,3738,5639632,0.0756056423539692,0.0006628092045722132,MN,Midwest,West North Central
Mississippi,2020,215811,4787,2976149,0.07251350654822726,0.0016084544154207332,MS,South,East South Central
Mississippi,2021,292658,5400,2976149,0.09833445838901211,0.0018144252858307832,MS,South,East South Central
Missouri,2020,418637,6041,6137428,0.06821049468930633,0.000984288532590525,MO,Midwest,West North Central
Missouri,2021,481407,7254,6137428,0.07843790591107545,0.0011819283256764887,MO,Midwest,West North Central
Montana,2020,81701,962,1068778,0.07644337738987891,0.0009000933776705733,MT,West,Mountain
Montana,2021,102894,1523,1068778,0.09627256549068189,0.0014249919066447849,MT,West,Mountain
Nebraska,2020,167795,1712,1934408,0.08674230048676392,0.0008850252893908627,NE,Midwest,West North Central
Nebraska,2021,127479,1346,1934408,0.06590078204804778,0.0006958201165421152,NE,Midwest,West North Central
Nevada,2020,225165,3138,3080156,0.07310181692096114,0.0010187795683075792,NV,West,Mountain
Nevada,2021,234713,4678,3080156,0.07620165991592634,0.0015187542449148679,NV,West,Mountain
New Hampshire,2020,44028,759,1359711,0.03238041024894261,0.0005582068542506459,NH,Northeast,New England
New Hampshire,2021,100598,863,1359711,0.07398483942543672,0.0006346936959397989,NH,Northeast,New England
New Jersey,2020,479443,19274,8882190,0.053978016682822594,0.0021699603363584882,NJ,Northeast,Middle Atlantic
New Jersey,2021,753696,9112,8882190,0.08485474865995886,0.0010258731236327979,NJ,Northeast,Middle Atlantic
New Mexico,2020,142897,2479,2096829,0.06814909561056243,0.0011822614051980396,NM,West,Mountain
New Mexico,2021,149181,2692,2096829,0.07114600189142749,0.0012838433653864956,NM,West,Mountain
New York,2020,979040,37771,19453561,0.05032703267026536,0.0019415982503151994,NY,Northeast,Middle Atlantic
New York,2021,1636509,18890,19453561,0.08412387839943546,0.000971030445274261,NY,Northeast,Middle Atlantic
North Carolina,2020,541070,6811,10488084,0.051589022360995586,0.0006494036470341008,NC,South,South Atlantic
North Carolina,2021,963392,11628,10488084,0.09185586232909652,0.0011086867725315702,NC,South,South Atlantic
North Dakota,2020,92572,1299,762062,0.1214756804564458,0.001704585716122835,ND,Midwest,West North Central
North Dakota,2021,61995,547,762062,0.08135164855352976,0.0007177893662195465,ND,Midwest,West North Central
Ohio,2020,700380,8962,11689100,0.05991735890701594,0.0007666971794235655,OH,Midwest,East North Central
Ohio,2021,895791,17877,11689100,0.07663472808000615,0.0015293735189193351,OH,Midwest,East North Central
Oklahoma,2020,290936,2491,3956971,0.07352492601032456,0.0006295219247247453,OK,South,West South Central
Oklahoma,2021,361795,8392,3956971,0.09143231021910446,0.0021208141277760184,OK,South,West South Central
Oregon,2020,113929,1493,4217737,0.0270118786448752,0.00035398129376013727,OR,West,Pacific
Oregon,2021,262445,3245,4217737,0.06222412635022051,0.0007693699251518053,OR,West,Pacific
Pennsylvania,2020,646060,16022,12801989,0.05046559561955568,0.0012515242748607268,PA,Northeast,Middle Atlantic
Pennsylvania,2021,972810,16369,12801989,0.07598897327594954,0.00127862943797249,PA,Northeast,Middle Atlantic
Rhode Island,2020,88209,1777,1059361,0.08326623313488037,0.001677426297551071,RI,Northeast,New England
Rhode Island,2021,95388,1115,1059361,0.09004295985976452,0.0010525212840570872,RI,Northeast,New England
South Carolina,2020,307507,5296,5148714,0.0597250109444805,0.0010286063665606597,SC,South,South Atlantic
South Carolina,2021,599438,8721,5148714,0.11642480044531509,0.0016938210201615394,SC,South,South Atlantic
South Dakota,2020,99164,1488,884659,0.11209290811487817,0.001682004026410176,SD,Midwest,West North Central
South Dakota,2021,60179,793,884659,0.06802508085036155,0.0008963905866554232,SD,Midwest,West North Central
Tennessee,2020,572579,6848,6829174,0.0838430826334195,0.0010027567023478973,TN,South,East South Central
Tennessee,2021,693020,9685,6829174,0.10147932971103094,0.0014181802953036487,TN,South,East South Central
Texas,2020,1770527,28155,28995881,0.061061327986550916,0.0009709999844460667,TX,South,West South Central
Texas,2021,2501960,44859,28995881,0.08628673845088548,0.0015470818079298919,TX,South,West South Central
USA,2020,617632840,10713259,328239523,1.8816528684755613,0.032638540606214565,USA,All,All
USA,2021,834342618,12968757,328239523,2.541871284647218,0.03951004096481093,USA,All,All
Utah,2020,276612,1272,3205958,0.08628060629615235,0.0003967612800916294,UT,West,Mountain
Utah,2021,295072,2077,3205958,0.09203863556540666,0.0006478562726024484,UT,West,Mountain
Vermont,2020,7412,136,623989,0.011878414523332943,0.0002179525600611549,VT,Northeast,New England
Vermont,2021,36618,257,623989,0.05868372679646596,0.00041186623482144716,VT,Northeast,New England
Virginia,2020,349584,5080,8535519,0.0409563847259903,0.0005951600599799497,VA,South,South Atlantic
Virginia,2021,593253,9471,8535519,0.06950403367387502,0.0011095986078878157,VA,South,South Atlantic
Washington,2020,251064,3791,7614893,0.03297012840495592,0.0004978402191600066,WA,West,Pacific
Washington,2021,501682,5690,7614893,0.0658816873723636,0.0007472199543709938,WA,West,Pacific
West Virginia,2020,85334,1338,1792147,0.047615513682750354,0.0007465905419588906,WV,South,South Atlantic
West Virginia,2021,196531,3592,1792147,0.10966232122699757,0.0020042998704905344,WV,South,South Atlantic
Wisconsin,2020,520438,5247,5822434,0.08938495481442985,0.0009011695108952717,WI,Midwest,East North Central
Wisconsin,2021,400951,4460,5822434,0.06886312494053175,0.0007660026717348793,WI,Midwest,East North Central
Wyoming,2020,44425,438,578759,0.07675906551777165,0.0007567916870407199,WY,West,Mountain
Wyoming,2021,63074,860,578759,0.10898145860366751,0.0014859380156507286,WY,West,Mountain
